DATE,T10Y2Y
1976-06-07,0.73000000000000000000
1976-06-14,0.82600000000000000000
1976-06-21,0.82000000000000000000
1976-06-28,0.81400000000000000000
1976-07-05,0.84750000000000000000
1976-07-12,0.93200000000000000000
1976-07-19,1.01200000000000000000
1976-07-26,0.96400000000000000000
1976-08-02,1.09400000000000000000
1976-08-09,1.11000000000000000000
1976-08-16,1.16800000000000000000
1976-08-23,1.13800000000000000000
1976-08-30,1.13600000000000000000
1976-09-06,1.14000000000000000000
1976-09-13,1.18000000000000000000
1976-09-20,1.18400000000000000000
1976-09-27,1.18000000000000000000
1976-10-04,1.2280000000000000
1976-10-11,1.3650000000000000
1976-10-18,1.5420000000000000
1976-10-25,1.4340000000000000
1976-11-01,1.4060000000000000
1976-11-08,1.4050000000000000
1976-11-15,1.4100000000000000
1976-11-22,1.5300000000000000
1976-11-29,1.5725000000000000
1976-12-06,1.5580000000000000
1976-12-13,1.4820000000000000
1976-12-20,1.4920000000000000
1976-12-27,1.4875000000000000
1977-01-03,1.4460000000000000
1977-01-10,1.3920000000000000
1977-01-17,1.3680000000000000
1977-01-24,1.2640000000000000
1977-01-31,1.2100000000000000
1977-02-07,1.2420000000000000
1977-02-14,1.3160000000000000
1977-02-21,1.3150000000000000
1977-02-28,1.3400000000000000
1977-03-07,1.3540000000000000
1977-03-14,1.3760000000000000
1977-03-21,1.3660000000000000
1977-03-28,1.3840000000000000
1977-04-04,1.4020000000000000
1977-04-11,1.4300000000000000
1977-04-18,1.4440000000000000
1977-04-25,1.3900000000000000
1977-05-02,1.3460000000000000
1977-05-09,1.2900000000000000
1977-05-16,1.2020000000000000
1977-05-23,1.13000000000000000000
1977-05-30,1.15750000000000000000
1977-06-06,1.17800000000000000000
1977-06-13,1.17600000000000000000
1977-06-20,1.13600000000000000000
1977-06-27,1.13000000000000000000
1977-07-04,1.14500000000000000000
1977-07-11,1.16600000000000000000
1977-07-18,1.07000000000000000000
1977-07-25,0.97600000000000000000
1977-08-01,0.95600000000000000000
1977-08-08,0.89600000000000000000
1977-08-15,0.82800000000000000000
1977-08-22,0.73200000000000000000
1977-08-29,0.68800000000000000000
1977-09-05,0.71000000000000000000
1977-09-12,0.67600000000000000000
1977-09-19,0.63000000000000000000
1977-09-26,0.58200000000000000000
1977-10-03,0.58200000000000000000
1977-10-10,0.54250000000000000000
1977-10-17,0.38600000000000000000
1977-10-24,0.33400000000000000000
1977-10-31,0.40200000000000000000
1977-11-07,0.44000000000000000000
1977-11-14,0.44666666666666666667
1977-11-21,0.43800000000000000000
1977-11-28,0.41250000000000000000
1977-12-05,0.44400000000000000000
1977-12-12,0.47800000000000000000
1977-12-19,0.52400000000000000000
1977-12-26,0.54000000000000000000
1978-01-02,0.54250000000000000000
1978-01-09,0.54800000000000000000
1978-01-16,0.42600000000000000000
1978-01-23,0.43200000000000000000
1978-01-30,0.47600000000000000000
1978-02-06,0.48400000000000000000
1978-02-13,0.48250000000000000000
1978-02-20,0.47250000000000000000
1978-02-27,0.43800000000000000000
1978-03-06,0.46000000000000000000
1978-03-13,0.46600000000000000000
1978-03-20,0.45200000000000000000
1978-03-27,0.46000000000000000000
1978-04-03,0.46400000000000000000
1978-04-10,0.42600000000000000000
1978-04-17,0.47800000000000000000
1978-04-24,0.37600000000000000000
1978-05-01,0.34000000000000000000
1978-05-08,0.36600000000000000000
1978-05-15,0.35800000000000000000
1978-05-22,0.33400000000000000000
1978-05-29,0.30250000000000000000
1978-06-05,0.30000000000000000000
1978-06-12,0.30400000000000000000
1978-06-19,0.26400000000000000000
1978-06-26,0.12000000000000000000
1978-07-03,0.14200000000000000000
1978-07-10,0.18000000000000000000
1978-07-17,0.18200000000000000000
1978-07-24,0.13400000000000000000
1978-07-31,0.11200000000000000000
1978-08-07,0.11200000000000000000
1978-08-14,0.17800000000000000000
1978-08-21,0.02400000000000000000
1978-08-28,-0.07000000000000000000
1978-09-04,-0.08000000000000000000
1978-09-11,-0.11000000000000000000
1978-09-18,-0.14600000000000000000
1978-09-25,-0.16800000000000000000
1978-10-02,-0.17400000000000000000
1978-10-09,-0.10500000000000000000
1978-10-16,-0.15000000000000000000
1978-10-23,-0.19000000000000000000
1978-10-30,-0.33200000000000000000
1978-11-06,-0.64600000000000000000
1978-11-13,-0.60750000000000000000
1978-11-20,-0.52000000000000000000
1978-11-27,-0.63500000000000000000
1978-12-04,-0.70200000000000000000
1978-12-11,-0.62800000000000000000
1978-12-18,-0.61000000000000000000
1978-12-25,-0.81000000000000000000
1979-01-01,-0.84000000000000000000
1979-01-08,-0.79200000000000000000
1979-01-15,-0.77000000000000000000
1979-01-22,-0.74600000000000000000
1979-01-29,-0.75400000000000000000
1979-02-05,-0.65200000000000000000
1979-02-12,-0.59000000000000000000
1979-02-19,-0.56500000000000000000
1979-02-26,-0.65000000000000000000
1979-03-05,-0.71000000000000000000
1979-03-12,-0.68800000000000000000
1979-03-19,-0.69600000000000000000
1979-03-26,-0.65200000000000000000
1979-04-02,-0.62200000000000000000
1979-04-09,-0.63600000000000000000
1979-04-16,-0.65250000000000000000
1979-04-23,-0.55200000000000000000
1979-04-30,-0.55000000000000000000
1979-05-07,-0.54600000000000000000
1979-05-14,-0.55200000000000000000
1979-05-21,-0.51000000000000000000
1979-05-28,-0.53250000000000000000
1979-06-04,-0.50000000000000000000
1979-06-11,-0.40400000000000000000
1979-06-18,-0.27000000000000000000
1979-06-25,-0.29600000000000000000
1979-07-02,-0.15000000000000000000
1979-07-09,-0.18000000000000000000
1979-07-16,-0.08200000000000000000
