Date,qqq,tqqq_mock
1981-07-14,2.1395716084106375,1.0
1981-07-15,2.1395716084106375,1.0
1981-07-16,2.1395716084106375,1.0
1981-07-17,2.1395716084106375,1.0
1981-07-20,2.1395716084106375,1.0
1981-07-21,2.1395716084106375,1.0
1981-07-22,2.1395716084106375,1.0
1981-07-23,2.1395716084106375,1.0
1981-07-24,2.1395716084106375,1.0
1981-07-27,2.1395716084106375,1.0
1981-07-28,2.1395716084106375,1.0
1981-07-29,2.1395716084106375,1.0
1981-07-30,2.1395716084106375,1.0
1981-07-31,2.158828439724279,1.0255375108524245
1981-08-03,2.158828439724279,1.0255375108524245
1981-08-04,2.158828439724279,1.0255375108524245
1981-08-05,2.158828439724279,1.0255375108524245
1981-08-06,2.158828439724279,1.0255375108524245
1981-08-07,2.158828439724279,1.0255375108524245
1981-08-10,2.158828439724279,1.0255375108524245
1981-08-11,2.158828439724279,1.0255375108524245
1981-08-12,2.158828439724279,1.0255375108524245
1981-08-13,2.158828439724279,1.0255375108524245
1981-08-14,2.158828439724279,1.0255375108524245
1981-08-17,2.158828439724279,1.0255375108524245
1981-08-18,2.158828439724279,1.0255375108524245
1981-08-19,2.158828439724279,1.0255375108524245
1981-08-20,2.158828439724279,1.0255375108524245
1981-08-21,2.158828439724279,1.0255375108524245
1981-08-24,2.158828439724279,1.0255375108524245
1981-08-25,2.158828439724279,1.0255375108524245
1981-08-26,2.158828439724279,1.0255375108524245
1981-08-27,2.158828439724279,1.0255375108524245
1981-08-28,2.158828439724279,1.0255375108524245
1981-08-31,1.9833840958823838,0.7890580887903248
1981-09-01,1.9833840958823838,0.7890580887903248
1981-09-02,1.9833840958823838,0.7890580887903248
1981-09-03,1.9833840958823838,0.7890580887903248
1981-09-04,1.9833840958823838,0.7890580887903248
1981-09-08,1.9833840958823838,0.7890580887903248
1981-09-09,1.9833840958823838,0.7890580887903248
1981-09-10,1.9833840958823838,0.7890580887903248
1981-09-11,1.9833840958823838,0.7890580887903248
1981-09-14,1.9833840958823838,0.7890580887903248
1981-09-15,1.9833840958823838,0.7890580887903248
1981-09-16,1.9833840958823838,0.7890580887903248
1981-09-17,1.9833840958823838,0.7890580887903248
1981-09-18,1.9833840958823838,0.7890580887903248
1981-09-21,1.9833840958823838,0.7890580887903248
1981-09-22,1.9833840958823838,0.7890580887903248
1981-09-23,1.9833840958823838,0.7890580887903248
1981-09-24,1.9833840958823838,0.7890580887903248
1981-09-25,1.9833840958823838,0.7890580887903248
1981-09-28,1.9833840958823838,0.7890580887903248
1981-09-29,1.9833840958823838,0.7890580887903248
1981-09-30,1.925614273074884,0.723846654910307
1981-10-01,1.925614273074884,0.723846654910307
1981-10-02,1.925614273074884,0.723846654910307
1981-10-05,1.925614273074884,0.723846654910307
1981-10-06,1.925614273074884,0.723846654910307
1981-10-07,1.925614273074884,0.723846654910307
1981-10-08,1.925614273074884,0.723846654910307
1981-10-09,1.925614273074884,0.723846654910307
1981-10-12,1.925614273074884,0.723846654910307
1981-10-13,1.925614273074884,0.723846654910307
1981-10-14,1.925614273074884,0.723846654910307
1981-10-15,1.925614273074884,0.723846654910307
1981-10-16,1.925614273074884,0.723846654910307
1981-10-19,1.925614273074884,0.723846654910307
1981-10-20,1.925614273074884,0.723846654910307
1981-10-21,1.925614273074884,0.723846654910307
1981-10-22,1.925614273074884,0.723846654910307
1981-10-23,1.925614273074884,0.723846654910307
1981-10-26,1.925614273074884,0.723846654910307
1981-10-27,1.925614273074884,0.723846654910307
1981-10-28,1.925614273074884,0.723846654910307
1981-10-29,1.925614273074884,0.723846654910307
1981-10-30,2.2358529462184653,1.05474437442465
1981-11-02,2.2358529462184653,1.05474437442465
1981-11-03,2.2358529462184653,1.05474437442465
1981-11-04,2.2358529462184653,1.05474437442465
1981-11-05,2.2358529462184653,1.05474437442465
1981-11-06,2.2358529462184653,1.05474437442465
1981-11-09,2.2358529462184653,1.05474437442465
1981-11-10,2.2358529462184653,1.05474437442465
1981-11-11,2.2358529462184653,1.05474437442465
1981-11-12,2.2358529462184653,1.05474437442465
1981-11-13,2.2358529462184653,1.05474437442465
1981-11-16,2.2358529462184653,1.05474437442465
1981-11-17,2.2358529462184653,1.05474437442465
1981-11-18,2.2358529462184653,1.05474437442465
1981-11-19,2.2358529462184653,1.05474437442465
1981-11-20,2.2358529462184653,1.05474437442465
1981-11-23,2.2358529462184653,1.05474437442465
1981-11-24,2.2358529462184653,1.05474437442465
1981-11-25,2.2358529462184653,1.05474437442465
1981-11-27,2.2358529462184653,1.05474437442465
1981-11-30,2.289342414279089,1.1263410446393152
1981-12-01,2.289342414279089,1.1263410446393152
1981-12-02,2.289342414279089,1.1263410446393152
1981-12-03,2.289342414279089,1.1263410446393152
1981-12-04,2.289342414279089,1.1263410446393152
1981-12-07,2.289342414279089,1.1263410446393152
1981-12-08,2.289342414279089,1.1263410446393152
1981-12-09,2.289342414279089,1.1263410446393152
1981-12-10,2.289342414279089,1.1263410446393152
1981-12-11,2.289342414279089,1.1263410446393152
1981-12-14,2.289342414279089,1.1263410446393152
1981-12-15,2.289342414279089,1.1263410446393152
1981-12-16,2.289342414279089,1.1263410446393152
1981-12-17,2.289342414279089,1.1263410446393152
1981-12-18,2.289342414279089,1.1263410446393152
1981-12-21,2.289342414279089,1.1263410446393152
1981-12-22,2.289342414279089,1.1263410446393152
1981-12-23,2.289342414279089,1.1263410446393152
1981-12-24,2.289342414279089,1.1263410446393152
1981-12-28,2.289342414279089,1.1263410446393152
1981-12-29,2.289342414279089,1.1263410446393152
