Date,TQQQ_Backfilled
1985-10-02,0.9652832814288228
1985-10-03,0.9662928735388189
1985-10-04,0.9460990191871881
1985-10-07,0.8991605678442741
1985-10-08,0.872991771960468
1985-10-09,0.9086840149709213
1985-10-10,0.9302893609925877
1985-10-11,0.9721582573429773
1985-10-14,1.0277394330468632
1985-10-15,1.0335738630265447
1985-10-16,1.0586301804652998
1985-10-17,1.0699082069349
1985-10-18,1.058381587052523
1985-10-21,1.038545025984573
1985-10-22,1.0575476061553444
1985-10-23,1.0742438680096935
1985-10-24,1.0848824556080041
1985-10-25,1.0407991199109385
1985-10-28,1.0373514230716376
1985-10-29,1.0790512073724563
1985-10-30,1.0909748443112475
1985-10-31,1.0824929188233117
1985-11-01,1.1048856704031371
1985-11-04,1.0965746065309887
1985-11-05,1.1072802355511613
1985-11-06,1.134181767274883
1985-11-07,1.1397947693086394
1985-11-08,1.1878612543342364
1985-11-11,1.221171329682791
1985-11-12,1.2639809474949484
1985-11-13,1.2427888408964787
1985-11-14,1.265664923062354
1985-11-15,1.276200890010395
1985-11-18,1.267913298958635
1985-11-19,1.2880945432865787
1985-11-20,1.2748128877608043
1985-11-21,1.319163898380237
1985-11-22,1.3280595150355248
1985-11-25,1.2994148752576933
1985-11-26,1.3254276834167067
1985-11-27,1.3847463424507496
1985-11-29,1.3945152462879173
1985-12-02,1.365267808760462
1985-12-03,1.3662826290581083
1985-12-04,1.4529157052321682
1985-12-05,1.4695361082629512
1985-12-06,1.4171588942689142
1985-12-09,1.4363572718465565
1985-12-10,1.4533640425830725
1985-12-11,1.4918061056192895
1985-12-12,1.5125061207952082
1985-12-13,1.5943946716615296
1985-12-16,1.610818951828864
1985-12-17,1.5725751871332039
1985-12-18,1.5599753472789444
1985-12-19,1.5893889079834906
1985-12-20,1.600108423470728
1985-12-23,1.543847233739894
1985-12-24,1.5196820981792267
1985-12-26,1.5321572113475719
1985-12-27,1.571571564934243
1985-12-30,1.5877208158219893
1985-12-31,1.5985446113526967
1986-01-02,1.5588785820583462
1986-01-03,1.5349726890882673
1986-01-06,1.5301235616159594
1986-01-07,1.6157080942289326
1986-01-08,1.5577761959969436
1986-01-09,1.474197802857674
1986-01-10,1.4994641698176108
1986-01-13,1.4836368336312755
1986-01-14,1.4887984069265823
1986-01-15,1.5701187106642098
1986-01-16,1.6271328511692147
1986-01-17,1.612176043319907
1986-01-20,1.5710072991746813
1986-01-21,1.5526473423022384
1986-01-22,1.4997201392605282
1986-01-23,1.487830986345339
1986-01-24,1.516934250723963
1986-01-27,1.5373459769200424
1986-01-28,1.579980360580728
1986-01-29,1.620686358316113
1986-01-30,1.5880011683625492
1986-01-31,1.6131518174032868
1986-02-03,1.660163191774557
1986-02-04,1.674982772080699
1986-02-05,1.7171015822278968
1986-02-06,1.7512434713062661
1986-02-07,1.7820730731932293
1986-02-10,1.8096128091078505
1986-02-11,1.816609722988837
1986-02-12,1.8312363104076461
1986-02-13,1.8503830746932461
1986-02-14,1.8892843224664522
1986-02-18,1.9097068350199695
1986-02-19,1.865631232482984
1986-02-20,1.8782795826201295
1986-02-21,1.926542561450054
1986-02-24,1.887328564726485
1986-02-25,1.852284712704524
1986-02-26,1.8305146933065666
1986-02-27,1.8950707063270902
1986-02-28,1.889440336901504
1986-03-03,1.8614208690274614
1986-03-04,1.8942784119794207
1986-03-05,1.8856563210304427
1986-03-06,1.9083081484378022
1986-03-07,1.905075260397919
1986-03-10,1.9749324651825921
1986-03-11,2.0921215908587527
1986-03-12,2.147052184088478
1986-03-13,2.1642412750979645
1986-03-14,2.169057057062301
1986-03-17,2.1404568261406625
1986-03-18,2.196308093895231
1986-03-19,2.1894622479030796
1986-03-20,2.2013037851676827
1986-03-21,2.2129041307247257
1986-03-24,2.17345018052042
1986-03-25,2.1926054150238703
1986-03-26,2.180278873759743
1986-03-27,2.233011378693647
1986-03-31,2.251702283491684
1986-04-01,2.234341341578986
1986-04-02,2.26038147504654
1986-04-03,2.2485032822152204
1986-04-04,2.1711748171747756
1986-04-07,2.1279034365801293
1986-04-08,2.2524187632275776
1986-04-09,2.2545206554735233
1986-04-10,2.3775683316368275
1986-04-11,2.4172597234612585
1986-04-14,2.4781740740222418
1986-04-15,2.523868913996845
1986-04-16,2.72197026109953
1986-04-17,2.727967478895746
1986-04-18,2.6552190359776833
1986-04-21,2.700991490734276
1986-04-22,2.6635837564997233
1986-04-23,2.643851332998315
1986-04-24,2.767857057638436
1986-04-25,2.7947402453619596
1986-04-28,2.76589955626962
1986-04-29,2.6809007553966566
1986-04-30,2.5131574111126738
1986-05-01,2.4756505429477684
1986-05-02,2.5110678049428414
1986-05-05,2.6158070983805994
1986-05-06,2.6157456282146336
1986-05-07,2.572861735699018
1986-05-08,2.618369848304356
1986-05-09,2.654235529715685
1986-05-12,2.646441782205783
1986-05-13,2.611897250115761
1986-05-14,2.6076972089531765
1986-05-15,2.55068781173254
1986-05-16,2.513982371327512
1986-05-19,2.526229457265883
1986-05-20,2.6107568900221114
1986-05-21,2.629573608150539
1986-05-22,2.7412862739508057
1986-05-23,2.7719304316666324
1986-05-27,2.8220008234441547
1986-05-28,2.831451100505564
1986-05-29,2.8491113324400543
1986-05-30,2.9328001706870084
1986-06-02,2.877327503138284
1986-06-03,2.880785262400764
1986-06-04,2.8633215750339396
1986-06-05,2.8890758586403935
1986-06-06,2.861263180878734
1986-06-09,2.6872916581614987
1986-06-10,2.662448189647677
1986-06-11,2.7605965414931872
1986-06-12,2.7798633996484683
1986-06-13,2.883291735458779
