Date,qqq
1983/9/1,5.34826624
1983/9/2,5.440036781002544
1983/9/6,5.572356858673136
1983/9/7,5.5254052986385584
1983/9/8,5.529673135
1983/9/9,5.476319016885952
1983/9/12,5.412293967546121
1983/9/13,5.369610244282985
1983/9/14,5.403755616228878
1983/9/15,5.397354128849151
1983/9/16,5.467781736678454
1983/9/19,5.5787594171626065
1983/9/20,5.608635881227315
1983/9/21,5.6043696511204875
1983/9/22,5.679066702385847
1983/9/23,5.595831835358117
1983/9/26,5.6043696511204875
1983/9/27,5.538210415617499
1983/9/28,5.5467476958249975
1983/9/29,5.506197087615275
1983/9/30,5.431501107
1983/10/3,5.401620895
1983/10/4,5.427232735133346
1983/10/5,5.457111876972412
1983/10/6,5.561686463412223
1983/10/7,5.583029396153535
1983/10/10,5.649188096101652
1983/10/11,5.551014997041568
1983/10/12,5.452842969091227
1983/10/13,5.448575132319785
1983/10/14,5.440036781002544
1983/10/17,5.437903130394258
1983/10/18,5.239424352775549
1983/10/19,5.179667675762031
1983/10/20,5.177533489598874
1983/10/21,5.1220446493567975
1983/10/24,5.115642090867327
1983/10/25,5.175399303435717
1983/10/26,5.107105346
1983/10/27,5.109238461268114
1983/10/28,5.0665542024501065
1983/10/31,5.077226204375633
1983/11/1,5.0836276917553604
1983/11/2,5.149787462813221
1983/11/3,5.107105346
1983/11/4,5.077226204375633
1983/11/7,5.036677202830526
1983/11/8,5.019603178
1983/11/9,5.132715580172581
1983/11/10,5.239424352775549
1983/11/11,5.397354128849151
1983/11/14,5.459244992025826
1983/11/15,5.418695990480719
1983/11/16,5.450707711818327
1983/11/17,5.486990483256608
1983/11/18,5.478451060829623
1983/11/21,5.523270041365659
1983/11/22,5.531808928237772
1983/11/23,5.486990483256608
1983/11/25,5.506197087615275
1983/11/28,5.489123063
1983/11/29,5.548880810878411
1983/11/30,5.499795600235548
1983/12/1,5.521138533
1983/12/2,5.4827205042656795
1983/12/5,5.463512293242397
1983/12/6,5.431501107
1983/12/7,5.437903130394258
1983/12/8,5.397354128849151
1983/12/9,5.371741752671784
1983/12/12,5.393084149858223
1983/12/13,5.363208221348386
1983/12/14,5.250094748036461
1983/12/15,5.2031415813372695
1983/12/16,5.256498913190547
1983/12/19,5.282107540483813
1983/12/20,5.292777935744725
1983/12/21,5.337595845171018
1983/12/22,5.333328008399576
1983/12/23,5.318390311922093
1983/12/27,5.339731102443918
1983/12/28,5.341864753052203
1983/12/29,5.339731102443918
1983/12/30,5.378146453
1984/1/3,5.346134732043131
1984/1/4,5.446437732827399
1984/1/5,5.559552277249066
1984/1/6,5.610771674055086
1984/1/9,5.576623624334835
1984/1/10,5.568088486346823
1984/1/11,5.555282834
1984/1/12,5.563819042910766
1984/1/13,5.529673135
1984/1/16,5.529673135
1984/1/17,5.559552277249066
1984/1/18,5.499795600235548
1984/1/19,5.450707711818327
1984/1/20,5.352536219422858
1984/1/23,5.233021794286079
1984/1/24,5.235154909339492
1984/1/25,5.1049711600515435
1984/1/26,5.004663339273431
1984/1/27,4.9000887528336206
1984/1/30,4.774172304762241
1984/1/31,4.748561535249489
1984/2/1,4.656791530233747
1984/2/2,4.695206345615698
1984/2/3,4.599168503828514
1984/2/6,4.451909123015824
1984/2/7,4.486056637181204
1984/2/8,4.321724302618132
1984/2/9,4.2982487903782784
1984/2/10,4.368676933762452
1984/2/13,4.328127932217345
1984/2/14,4.407091749144403
1984/2/15,4.394285561055719
1984/2/16,4.3857509586225785
1984/2/17,4.345200618190292
1984/2/21,4.308919988971498
1984/2/22,4.308919988971498
1984/2/23,4.279042453797047
1984/2/24,4.490325009507518
1984/2/27,4.560752617
1984/2/28,4.419896330568472
1984/2/29,4.432700911992542
1984/3/1,4.494594452943574
1984/3/2,4.560752617
1984/3/5,4.530874546607497
1984/3/6,4.434835634
1984/3/7,4.349470061626349
1984/3/8,4.372946644975944
1984/3/9,4.355871013451204
1984/3/12,4.464715846659379
1984/3/13,4.528740895999211
1984/3/14,4.486056637181204
1984/3/15,4.503129590931587
1984/3/16,4.579959757250359
1984/3/19,4.500996475878173
1984/3/20,4.524471452563154
1984/3/21,4.503129590931587
1984/3/22,4.417763751
1984/3/23,4.370811119925609
1984/3/26,4.372946644975944
1984/3/27,4.383615165794807
1984/3/28,4.488190823344361
1984/3/29,4.477519356973706
1984/3/30,4.460446403223322
1984/4/2,4.390018259839149
1984/4/3,4.340933049196286
1984/4/4,4.281175836627896
1984/4/5,4.168063434425715
1984/4/6,4.159526957550523
1984/4/9,4.129648083488893
1984/4/10,4.163794258767093
1984/4/11,4.108306221857324
1984/4/12,4.206478517585101
1984/4/13,4.249161973070801
1984/4/16,4.238491310032453
1984/4/17,4.283309219458745
1984/4/18,4.272638288642962
1984/4/19,4.279042453797047
1984/4/23,4.264102347322641
1984/4/24,4.27477301
1984/4/25,4.270503834702369
1984/4/26,4.381481515186522
1984/4/27,4.443373449
1984/4/30,4.498861754160145
1984/5/1,4.6183761792969245
1984/5/2,4.693071623897669
1984/5/3,4.661060438114932
1984/5/4,4.556486922784864
1984/5/7,4.558620037838278
1984/5/8,4.5970348532202285
1984/5/9,4.592766480893915
1984/5/10,4.603437411709699
1984/5/11,4.547949642577366
1984/5/14,4.515935779
1984/5/15,4.533008732770654
1984/5/16,4.507398498812772
1984/5/17,4.407091749144403
1984/5/18,4.353737630620355
1984/5/21,4.334529955151944
1984/5/22,4.296114604215122
1984/5/23,4.264102347322641
1984/5/24,4.183002202012941
1984/5/25,4.185138262618148
1984/5/29,4.133916455815206
