Date,SQQQ_Backfilled
1985/10/2,1.0356418929089457
1985/10/3,1.0342016412836117
1985/10/4,1.0570837644813134
1985/10/7,1.1126762499506535
1985/10/8,1.144462099239103
1985/10/9,1.0970567640279643
1985/10/10,1.0743626628050424
1985/10/11,1.0275852349225343
1985/10/14,0.9678001475811362
1985/10/15,0.9632901133766232
1985/10/16,0.9389790834105449
1985/10/17,0.9280370396705614
1985/10/18,0.938420973
1985/10/21,0.9523542143688435
1985/10/22,0.931578227
1985/10/23,0.9157595201529594
1985/10/24,0.9047729310692209
1985/10/25,0.94204455
1985/10/28,0.9433900211721395
1985/10/29,0.9027382308084063
1985/10/30,0.8953474509342414
1985/10/31,0.9018430383817484
1985/11/1,0.8832475061210066
1985/11/4,0.8873142891695396
1985/11/5,0.8776249850917399
1985/11/6,0.8564377560154706
1985/11/7,0.85016933
1985/11/8,0.8148974761476401
1985/11/11,0.7910115351712071
1985/11/12,0.7627662262158698
1985/11/13,0.7745849018983968
1985/11/14,0.7631437001833716
1985/11/15,0.7567182588232532
1985/11/18,0.7599799257160604
1985/11/19,0.7490817677463101
1985/11/20,0.754925464
1985/11/21,0.7289252734413537
1985/11/22,0.7211031988806619
1985/11/25,0.7346917873974466
1985/11/26,0.7202232123130091
1985/11/27,0.6890046515490702
1985/11/29,0.684333083
1985/12/2,0.6984807407003609
1985/12/3,0.6974932470569037
1985/12/4,0.6511565585572247
1985/12/5,0.642725848
1985/12/6,0.6649978885999706
1985/12/9,0.657349682
1985/12/10,0.6499734126085208
1985/12/11,0.6304451329020562
1985/12/12,0.6220628011893181
1985/12/13,0.5878621677844568
1985/12/16,0.580970447
1985/12/17,0.5954348176186552
1985/12/18,0.6013927257455228
1985/12/19,0.5911324616944693
1985/12/20,0.5861130881175606
1985/12/23,0.6063188575057853
1985/12/24,0.6161696084941893
1985/12/26,0.6122716013116998
1985/12/27,0.5958925109650224
1985/12/30,0.5895072647599766
1985/12/31,0.5841438601163033
1986/1/2,0.5972013284140772
1986/1/3,0.6072893201103519
1986/1/6,0.6108136161860663
1986/1/7,0.5765192657429495
1986/1/8,0.5983083706364355
1986/1/9,0.6308009386989222
1986/1/10,0.6191326635897807
1986/1/13,0.6260730573365209
1986/1/14,0.6257780633934378
1986/1/15,0.5915096181483456
1986/1/16,0.5718413553694531
1986/1/17,0.5740626047147629
1986/1/20,0.589626409
1986/1/21,0.5965796273263582
1986/1/22,0.616518567
1986/1/23,0.6214771321827868
1986/1/24,0.6068076249775922
1986/1/27,0.5983344638302763
1986/1/28,0.5821276848989261
1986/1/29,0.5688108878383589
1986/1/30,0.5796539615682329
1986/1/31,0.5694965868188636
1986/2/3,0.5522896298557994
1986/2/4,0.54833301
1986/2/5,0.5348678330474192
1986/2/6,0.5236296094741574
1986/2/7,0.514913205
1986/2/10,0.5070206864728996
1986/2/11,0.5060079180352732
1986/2/12,0.501188726
1986/2/13,0.4955858236998734
1986/2/14,0.48474447815782035
1986/2/18,0.47805261005878946
1986/2/19,0.4893364495088113
1986/2/20,0.4862410020894816
1986/2/21,0.47371867297691145
1986/2/24,0.48310643568985195
1986/2/25,0.49067621604880024
1986/2/26,0.49599687274519305
1986/2/27,0.4781309294818164
1986/2/28,0.47875166383972506
1986/3/3,0.4856642064735738
1986/3/4,0.4774506468434913
1986/3/5,0.4813923681870396
1986/3/6,0.4757447690501944
1986/3/7,0.4767633190825879
1986/3/10,0.4591773577676162
1986/3/11,0.430137103
1986/3/12,0.4187912864378573
1986/3/13,0.41546034772834745
1986/3/14,0.4165542842338179
1986/3/17,0.4218580964897495
1986/3/18,0.41107611546114203
1986/3/19,0.41230083510533583
1986/3/20,0.40907910289052796
1986/3/21,0.40783044224559534
1986/3/24,0.41568715271350165
1986/3/25,0.4126528549657882
1986/3/26,0.41419404756541744
1986/3/27,0.4053100848405965
1986/3/31,0.40075349783761166
1986/4/1,0.4042863808292284
1986/4/2,0.40131817339215237
1986/4/3,0.40260464852507294
1986/4/4,0.4159671912115673
1986/4/7,0.4243119037388292
1986/4/8,0.39902685951286343
1986/4/9,0.397389751
1986/4/10,0.37572830350691405
1986/4/11,0.36863193306483855
1986/4/14,0.35966650100239633
1986/4/15,0.3523487202658152
1986/4/16,0.32576065330743986
1986/4/17,0.324510376
1986/4/18,0.33293312683636156
